,Date,sentecne,sentiment_score,sentence,sentiment
0,rt naababyayeley for child it not even femin it just common sen,,0.5879307,2023-05-06 05:56:11,Positive
1,rt sereinxx it funni how you talk about woman right and femin when you attack girl who express their opinion about fiction ch,,0.5888616,2023-05-06 05:56:07,Positive
2,rt tayspetsch femin leav my bodi the moment i listen to better than reveng taylor s version httpstcov6fhlrevhp,,0.58856785,2023-05-06 05:56:03,Positive
3,femin leav peopl bodi when btr tv drop httpstcoprkawbewsj,,0.58114916,2023-05-06 05:55:55,Positive
4,rt naababyayeley for child it not even femin it just common sen,,0.5819831,2023-05-06 05:55:21,Positive
5,rt naababyayeley for child it not even femin it just common sen,,0.5804015,2023-05-06 05:55:16,Positive
6,rt ashleyippolito i m apolog now for who i will becom onc haunt tv is in my hand also the lyric for better for reveng bett,,0.582917,2023-05-06 05:55:12,Positive
7,rt angijon how is equal femin work out for woman whi do liber feminist think they can chang our posit in societi by,,0.5811821,2023-05-06 05:54:55,Positive
8,rt zamarafdn are you a young woman who is passion about femin and advocaci are you interest in explor feminist valu and pr,,0.583383,2023-05-06 05:54:54,Positive
9,rt ashleyippolito i m apolog now for who i will becom onc haunt tv is in my hand also the lyric for better for reveng bett,,0.58361316,2023-05-06 05:54:39,Positive
10,rt tayspetsch femin leav my bodi the moment i listen to better than reveng taylor s version httpstcov6fhlrevhp,,0.58361316,2023-05-06 05:54:39,Positive
11,kingsleycort modern femin and marxist ideolog of destroy the nuclear famili make everybodi more unhappi especi woman,,0.5809236,2023-05-06 05:54:31,Positive
12,rt ashleyippolito i m apolog now for who i will becom onc haunt tv is in my hand also the lyric for better for reveng bett,,0.5815243,2023-05-06 05:54:28,Positive
13,rt audhinafh if i get to throw unpopular opinion about femin it should be they give a lot of love they receiv a lot of love they,,0.58071834,2023-05-06 05:54:22,Positive
14,rt naababyayeley for child it not even femin it just common sen,,0.5835202,2023-05-06 05:54:21,Positive
15,ausrepubl erm hello diana wa like mani a princess befor her her job wa to set femin back a hundr year by chuck dress handshak breed be betray and die quit publicli she bought the whole stupid packag,,0.5863863,2023-05-06 05:54:20,Positive
16,rt bayareajona better than reveng incom femin thrown out the window while listen to the song,,0.5816635,2023-05-06 05:54:16,Positive
17,rt zamarafdn are you a young woman who is passion about femin and advocaci are you interest in explor feminist valu and pr,,0.58576506,2023-05-06 05:54:11,Positive
18,rt naababyayeley for child it not even femin it just common sen,,0.58576506,2023-05-06 05:54:11,Positive
19,rt floretszaynab if you know ani articl written by a nigerian or african or ani one that wrote a book or articl to condemn femin in,,0.5831423,2023-05-06 05:53:58,Positive
20,rt naababyayeley for child it not even femin it just common sen,,0.5827765,2023-05-06 06:15:59,Positive
21,rt naababyayeley for child it not even femin it just common sen,,0.5755302,2023-05-06 06:15:51,Positive
22,rt jakebequette91 the hard truth is that the tran invas of woman s sport is the inevit result of femin titl ix and the abo,,0.5818992,2023-05-06 06:15:32,Positive
23,ayokayejid blythli femin happen,,0.58421576,2023-05-06 06:15:13,Positive
24,rt naababyayeley for child it not even femin it just common sen,,0.5847301,2023-05-06 06:15:09,Positive
25,rt heylutfi femin is cancer httpstcokrcajavnro,,0.58478093,2023-05-06 06:15:01,Positive
26,white fragil by robindiangelo httpstcoe3ce1kerwd hood femin by karnythia httpstcopnz1vnhqsk the karen with the glass is demand answer from a black woman she clearli miss the point of the video httpstcoia5tihfbsx,,0.58165425,2023-05-06 06:15:00,Positive
27,rt myopiclens rais in a fierc polit famili kerala s former health minist kk shailaja goe behind her belief rigour and,,0.5738562,2023-05-06 06:14:57,Positive
28,certainli there someth about femin that lower one iq no my point isnt that you fail to understand thi basic point i made whi is it the case that those who talk day in day out about ethic and moral and social issu demonstr 0 credibl in the field httpstcoxdkg1iclej,,0.5738562,2023-05-06 06:14:57,Positive
29,rt bestredpillcont sneako myron explain to sneako whi femin ruin the west httpstcovbltb9u2ag,,0.5783635,2023-05-06 06:14:27,Positive
30,rt theamitlakhani whi r u tell the femal constabl that theyr not safe either the issu with radic femin is that they want,,0.58081776,2023-05-06 06:14:24,Positive
31,rt yarkafanchan you post thi tweet to taunt femin but the men you are postur for are call you a terribl parent na so de tin,,0.58439124,2023-05-06 06:14:18,Positive
32,rt okkevw there is a wave of femin spread in the east scroll past without read the rest of the tweet dear atheist s,,0.582024,2023-05-06 06:14:17,Positive
33,rt ashleyippolito i m apolog now for who i will becom onc haunt tv is in my hand also the lyric for better for reveng bett,,0.57865274,2023-05-06 06:14:16,Positive
34,rt ashleyippolito i m apolog now for who i will becom onc haunt tv is in my hand also the lyric for better for reveng bett,,0.5746386,2023-05-06 06:14:05,Positive
35,rt jakebequette91 the hard truth is that the tran invas of woman s sport is the inevit result of femin titl ix and the abo,,0.58038336,2023-05-06 06:13:59,Positive
36,rt ashleyippolito i m apolog now for who i will becom onc haunt tv is in my hand also the lyric for better for reveng bett,,0.572911,2023-05-06 06:13:56,Negative
37,rt eccentrikhat femin warp fact and stat to make woman think they are live under constant threat of physic and sexual violenc,,0.5775136,2023-05-06 06:13:47,Positive
38,rt tayspetsch femin leav my bodi the moment i listen to better than reveng taylor s version httpstcov6fhlrevhp,,0.5799304,2023-05-06 06:13:32,Positive
39,rt lwcsboston after earn her phd grace lee bogg struggl to find sustain work amp hous due to racism she move to detroit amp m,,0.5783688,2023-05-06 06:13:16,Positive
40,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.5848044,2023-05-06 09:37:13,Positive
41,rt fascinatorfun oh lord guess who s the new director of the global warm polici foundat the ever ignor allison pearson co,,0.58054584,2023-05-06 09:35:23,Positive
42,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.5815021,2023-05-06 09:35:22,Positive
43,rt carbonbubbl the incom presid of the un cop28 summit is at odd with lead environ minist over how to curb global w,,0.5778948,2023-05-06 09:35:05,Positive
44,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.5778948,2023-05-06 09:35:05,Positive
45,ashsinclairof what about global warm,,0.58191293,2023-05-06 09:34:42,Positive
46,rt newclear314 nba team decod 1 miami heat 06231988 miami heat begin pick first player ever in it expans draft 0623,,0.58422625,2023-05-06 09:34:15,Positive
47,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.58623075,2023-05-06 09:34:02,Positive
48,make no mistak thi is not global warm it s global tamper httpstcoldfeevpw0t,,0.57840735,2023-05-06 09:33:58,Positive
49,rt elonmusk cernovich global warm risk is overblown in the short term but signific in the long term,,0.5740205,2023-05-06 09:33:57,Positive
50,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5828136,2023-05-06 09:33:42,Positive
51,berniespofforth the club or rome were the one that invent climat chang or global warm a it wa then in 1991 the club of rome a group of elit individu new world order lean think tank of selfappoint expert link to the vatican andor the un httpstcoq5eixplrel httpstcoffu1qz7bz,,0.5763651,2023-05-06 09:33:09,Positive
